"","exit","open.x","high.x","low.x","close.x","volume.x","spotPrice.x","return.x","logReturn.x","Date.x","pred.x","index","side.x","open.y","high.y","low.y","close.y","volume.y","spotPrice.y","return.y","logReturn.y","Date.y","pred.y","exit.y","side.y"
"1",5,1.386,1.386,1.386,1.386,0,1.386,0.066153846153846,0.0640576363002203,2019-01-01,0.140565613510449,1,"buy",1.356,1.3945,1.3389,1.3408,79091,1.3408,-0.00519364890933383,-0.00520718278429813,2019-01-07,0.0473008198078256,0,"sell"
"2",6,1.3136,1.379,1.2685,1.3256,87520,1.3256,-0.0435786435786436,-0.0445567136374954,2019-01-02,0.107015666058561,2,"buy",1.3466,1.3722,1.3385,1.3626,79091,1.3626,0.0162589498806682,0.0161281886117492,2019-01-08,0.0350800902891307,0,"sell"
"3",7,1.316,1.3677,1.3016,1.3495,87520,1.3495,0.0180295715147858,0.0178689663457062,2019-01-03,0.0696861810184538,3,"buy",1.3617,1.4348,1.3616,1.4254,75277,1.4254,0.0460883604873037,0.0450578367282026,2019-01-09,0.00621977938037965,0,"sell"
"4",8,1.3364,1.3981,1.3293,1.3478,66360,1.3478,-0.00125972582437928,-0.0012605199459426,2019-01-04,0.0473614878574219,4,"buy",1.4265,1.44,1.4087,1.4307,75277,1.4307,0.00371825452504559,0.003711358904518,2019-01-10,0.00759467735742727,0,"sell"
"5",9,1.356,1.3945,1.3389,1.3408,79091,1.3408,-0.00519364890933383,-0.00520718278429813,2019-01-07,0.0473008198078256,5,"buy",1.4215,1.4468,1.3947,1.4007,70850,1.4007,-0.0209687565527364,-0.0211917233272873,2019-01-11,0.00650853833547878,0,"sell"
"6",10,1.3466,1.3722,1.3385,1.3626,79091,1.3626,0.0162589498806682,0.0161281886117492,2019-01-08,0.0350800902891307,6,"buy",1.408,1.4182,1.3605,1.3638,70850,1.3638,-0.0263439708717071,-0.0266971905584487,2019-01-14,0.00601743425456497,0,"sell"
"7",60,1.8767,1.8996,1.8619,1.8973,83329,1.8973,0.0121092499733275,0.0120365195577024,2019-03-20,0.0124336010194631,56,"buy",1.8897,1.9223,1.8861,1.906,100629,1.906,0.00846560846560851,0.0084299761604594,2019-03-26,0.0225881246240855,0,"sell"
"8",61,1.8879,1.9065,1.8842,1.8941,97028,1.8941,-0.00168660728403525,-0.0016880312073921,2019-03-21,0.0206817409356101,57,"buy",1.9043,1.9089,1.8581,1.8733,106242,1.8733,-0.0171563483735572,-0.0173052237471343,2019-03-27,-0.000580288612552025,0,"sell"
"9",62,1.8998,1.911,1.8635,1.8901,101561,1.8901,-0.00211182091758622,-0.00211405395578527,2019-03-22,0.0189809907571324,58,"buy",1.87,1.87,1.81,1.86,106242,1.86,-0.00709977045854904,-0.00712509375976616,2019-03-28,-0.00398292608944768,0,"sell"
"10",63,1.89,1.9,1.87,1.89,101561,1.89,-0.0000529072535844222,-0.0000529086532225306,2019-03-25,0.0269192253092996,59,"buy",1.87,1.9,1.86,1.88,95107,1.88,0.010752688172043,0.010695289116748,2019-03-29,-0.00201948592018391,0,"sell"
