"","exit","open.x","high.x","low.x","close.x","volume.x","spotPrice.x","return.x","logReturn.x","Date.x","pred.x","index","side.x","open.y","high.y","low.y","close.y","volume.y","spotPrice.y","return.y","logReturn.y","Date.y","pred.y","exit.y","side.y"
"1",2,52.98,52.98,52.98,52.98,0,52.98,0.166703369301916,0.154182138734064,2019-01-01,0.166536672776144,1,"sell",45.8,47.78,44.35,46.54,850480,46.54,-0.12155530388826,-0.129602325969778,2019-01-02,0.115701901680488,0,"buy"
"2",3,45.8,47.78,44.35,46.54,850480,46.54,-0.12155530388826,-0.129602325969778,2019-01-02,0.115701901680488,2,"sell",46.26,47.49,45.35,47.09,850480,47.09,0.0118177911474002,0.0117485063813177,2019-01-03,0.0421765759981789,0,"buy"
"3",4,46.26,47.49,45.35,47.09,850480,47.09,0.0118177911474002,0.0117485063813177,2019-01-03,0.0421765759981789,3,"sell",46.9,49.22,46.65,47.96,817277,47.96,0.018475260140157,0.0183066659038501,2019-01-04,-0.0639231549541808,0,"buy"
"4",5,46.9,49.22,46.65,47.96,817277,47.96,0.018475260140157,0.0183066659038501,2019-01-04,-0.0639231549541808,4,"buy",48.3,49.79,48.11,48.52,819939,48.52,0.011676396997498,0.011608753916536,2019-01-07,0.0147045766053102,0,"sell"
"5",6,48.3,49.79,48.11,48.52,819939,48.52,0.011676396997498,0.011608753916536,2019-01-07,0.0147045766053102,5,"sell",48.73,49.95,48.31,49.78,819939,49.78,0.0259686727122836,0.0256372128635966,2019-01-08,0.0155484627210825,0,"buy"
"6",7,48.73,49.95,48.31,49.78,819939,49.78,0.0259686727122836,0.0256372128635966,2019-01-08,0.0155484627210825,6,"sell",49.8,52.58,49.71,52.36,891922,52.36,0.05182804339092,0.0505296441022531,2019-01-09,0.0178616728004445,0,"buy"
"7",8,49.8,52.58,49.71,52.36,891922,52.36,0.05182804339092,0.0505296441022531,2019-01-09,0.0178616728004445,7,"sell",52.18,52.78,51.37,52.59,891922,52.59,0.0043926661573721,0.00438304655955371,2019-01-10,0.0371513181209721,0,"buy"
"8",9,52.18,52.78,51.37,52.59,891922,52.59,0.0043926661573721,0.00438304655955371,2019-01-10,0.0371513181209721,8,"sell",52.28,53.31,51.18,51.59,821782,51.59,-0.0190150218672751,-0.0191981323446942,2019-01-11,0.0313449208067317,0,"buy"
"9",10,52.28,53.31,51.18,51.59,821782,51.59,-0.0190150218672751,-0.0191981323446942,2019-01-11,0.0313449208067317,9,"sell",51.73,52.11,50.38,50.51,812339,50.51,-0.0209342895910061,-0.0211565187765974,2019-01-14,-0.00570969581889933,0,"buy"
"10",12,50.78,52.3,50.64,52.11,791527,52.11,0.0316768956642248,0.031185532441162,2019-01-15,-0.019833671829181,11,"buy",52,52.52,51.26,52.31,694182,52.31,0.00383803492611778,0.0038306884613964,2019-01-16,0.00180602915582994,0,"sell"
"11",14,52.3,52.58,50.98,52.07,694182,52.07,-0.00458803288090237,-0.00459859020771205,2019-01-17,0.0196601197486504,13,"sell",52.53,54.14,52.37,54.04,669504,54.04,0.0378336854234684,0.0371355459171904,2019-01-18,0.000208230990937669,0,"buy"
